,Beer_Rating,Covered,Row,Section,No_Tickets,Price,Rating
0,10,1,40,301,2,45,2
1,1,1,34,311,2,46,2
2,1,1,36,311,2,47,2
3,1,1,64,325,4,44,3
4,1,1,64,325,7,46,3
5,8,1,67,332,3,46,3
6,8,1,67,332,2,46,1
7,9,1,63,333,6,49,2
8,8,1,36,302,2,48,2
9,1,1,31,311,5,48,2
10,1,1,37,310,5,49,2
11,1,1,36,325,2,49,3
12,9,1,59,333,8,49,2
13,10,1,30,301,2,50,2
14,1,1,31,310,4,49,2
15,8,1,65,332,8,50,2
16,8,1,65,332,5,50,2
17,8,1,65,332,8,50,2
18,8,1,65,332,5,50,2
19,1,1,63,325,16,53,3
20,9,1,45,333,8,52,2
21,9,1,64,333,8,51,2
22,8,1,29,302,18,52,3
23,8,1,63,332,5,51,2
24,8,1,63,332,2,51,2
25,8,1,63,332,5,51,2
26,8,1,63,332,2,51,2
27,8,1,64,332,7,51,2
28,8,1,64,332,12,52,2
29,8,1,64,332,7,51,2
30,8,1,64,332,12,52,2
31,8,1,66,332,7,51,3
32,9,1,65,333,8,51,2
33,8,1,61,332,1,50,2
34,8,1,61,332,4,52,2
35,1,1,40,310,4,52,2
36,1,1,53,325,6,53,3
37,2,1,29,326,8,54,3
38,8,1,62,332,3,49,2
39,8,1,62,332,9,54,2
40,10,1,18,301,4,56,3
41,10,1,18,301,8,66,3
42,10,1,18,301,4,56,3
43,10,1,18,301,8,66,3
44,8,1,28,302,19,55,3
45,2,1,22,326,5,54,3
46,8,1,33,302,2,51,3
47,8,1,33,302,2,61,2
48,8,1,29,332,7,56,3
49,1,1,29,310,2,55,2
50,1,1,30,310,12,57,2
51,10,1,13,301,4,59,3
52,10,1,13,301,6,66,3
53,10,1,13,301,4,59,3
54,10,1,13,301,6,66,3
55,8,1,27,302,8,58,3
56,2,1,24,326,24,58,3
57,8,1,26,302,2,60,3
58,9,1,16,333,5,58,3
59,10,0,28,139,6,61,3
60,1,0,10,215,10,61,3
61,8,1,34,302,2,57,3
62,8,1,34,302,4,64,2
63,9,1,11,333,4,63,3
64,9,1,18,333,8,59,3
65,10,0,27,139,7,62,3
66,1,0,8,215,12,63,3
67,1,1,9,325,5,64,2
68,3,1,53,327,2,60,3
69,10,0,25,139,9,63,3
70,1,1,25,310,4,63,3
71,9,1,10,333,7,65,3
72,9,1,17,333,4,62,3
73,9,1,4,333,8,66,3
74,10,0,24,139,10,64,3
75,1,0,7,215,4,64,3
76,10,1,19,301,4,63,3
77,1,1,14,311,8,66,3
78,10,0,23,139,8,65,3
79,1,0,5,220,5,66,3
80,8,1,23,302,8,66,3
81,7,1,31,303,2,65,3
82,1,1,8,325,12,67,2
83,10,0,18,135,4,66,3
84,10,0,22,136,10,66,3
85,10,0,21,139,4,67,3
86,1,1,30,309,2,66,3
87,1,1,4,325,2,64,2
88,1,1,4,325,8,72,2
89,1,1,4,325,2,64,2
90,1,1,4,325,8,72,2
91,9,1,9,333,9,68,3
92,10,0,20,136,5,68,3
93,10,0,17,138,7,67,3
94,1,0,4,215,6,67,3
95,7,1,29,303,4,67,3
96,9,1,20,333,2,69,3
97,10,0,14,136,2,69,3
98,10,0,28,138,20,69,3
99,1,0,9,215,18,68,3
100,7,1,19,303,4,69,3
101,1,1,29,309,4,69,3
102,1,1,31,309,2,68,3
103,7,1,48,331,24,65,3
104,10,0,11,138,4,70,3
105,1,0,6,215,24,70,3
106,7,1,18,303,7,70,3
107,1,1,13,311,6,72,3
108,1,1,3,325,16,72,2
109,9,1,21,333,3,51,3
110,9,1,21,333,4,71,3
111,9,1,5,333,12,67,3
112,9,1,8,333,12,71,3
113,10,0,19,139,4,71,3
114,10,1,17,301,10,69,3
115,7,1,16,303,2,71,3
116,9,1,23,333,3,51,3
117,9,1,23,333,2,70,3
118,9,1,28,333,15,69,3
119,7,1,47,331,8,66,3
120,7,1,47,331,2,67,3
121,7,1,47,331,3,67,3
122,7,1,21,303,12,72,3
123,1,1,5,325,7,70,2
124,10,1,8,234,4,65,3
125,1,1,20,309,13,73,3
126,1,1,36,309,23,73,2
127,10,0,27,133,4,73,4
128,6,1,35,304,7,75,3
129,1,1,35,309,21,75,2
130,7,1,33,303,11,76,3
131,6,1,39,330,7,79,3
132,7,1,52,331,2,75,3
133,7,1,53,331,10,75,3
134,7,1,53,331,4,76,3
135,8,1,34,332,4,75,3
136,10,0,26,133,10,79,4
137,9,1,24,333,3,51,3
138,9,1,24,333,4,56,3
139,2,1,18,308,2,81,3
140,2,1,28,308,2,81,3
141,1,1,9,311,2,81,3
142,6,1,38,330,8,83,3
143,7,1,46,331,6,74,3
144,7,1,51,331,4,77,3
145,7,1,6,331,4,81,3
146,10,0,10,133,5,84,4
