,Row,Section,avail_tics,deal_rating,price,rating
0,12,102,3,A+,79,4
1,16,132,2,A+,94,4
2,26,133,8,A+,80,4
3,14,132,2,A+,101,4
4,8,133,2,A+,91,4
5,10,133,5,A+,90,4
6,7,133,4,A+,92,4
7,9,133,8,A+,91,4
8,19,133,8,A+,86,4
9,17,139,3,A+,65,2
10,16,139,3,A,66,2
11,28,132,5,A,96,4
12,12,104,1,A,119,5
13,11,126,3,A,110,4
14,4,103,2,A,115,4
15,18,135,4,A,67,2
16,2,132,3,A,117,4
17,15,126,2,A,109,4
18,29,139,3,A,62,2
19,28,139,2,A,63,2
20,25,139,9,A,65,2
21,27,139,7,A,64,2
22,24,139,10,A,66,2
23,14,136,2,A,61,2
24,23,139,8,A,67,2
25,21,139,4,A,69,2
26,6,131,3,A,134,5
27,6,108,2,A,134,5
28,19,139,4,A,72,2
29,4,102,6,A-,108,4
30,3,103,2,A-,127,4
31,5,133,6,A-,108,4
32,10,132,2,A-,125,4
33,6,104,3,A-,140,5
34,11,127,4,A-,136,5
35,10,104,3,A-,138,5
36,14,127,1,A-,135,5
37,12,127,2,B+,138,5
38,7,132,2,B+,131,4
39,4,108,2,B+,146,5
40,8,225,3,B+,87,3
41,8,234,4,B+,76,2
42,8,126,4,B+,132,4
43,10,139,13,B+,84,2
44,14,136,2,B+,69,2
45,5,102,2,B+,116,4
46,16,138,3,B+,68,2
47,6,108,2,B+,147,5
48,11,138,4,B+,71,2
49,3,103,2,B+,138,4
50,9,139,8,B+,86,2
51,33,127,1,B+,125,5
52,28,131,1,B+,130,5
53,4,139,8,B+,91,2
54,10,129,4,B+,173,5
55,4,104,9,B+,154,5
56,5,104,2,B+,154,5
57,3,128,1,B+,169,5
58,3,128,3,B+,169,5
59,2,233,12,B+,97,3
60,6,225,4,B+,94,3
61,22,136,10,B+,68,2
62,26,131,1,B+,136,5
63,3,139,2,B,95,2
64,4,128,2,B,172,5
65,2,104,13,B,161,5
66,4,104,9,B,160,5
67,20,136,5,B,71,2
68,5,108,2,B,160,5
69,10,215,10,B,63,1
70,16,138,5,B,74,2
71,2,103,4,B,150,4
72,8,132,8,B,145,4
73,18,136,6,B,73,2
74,5,130,4,B,175,5
75,3,130,4,B,178,5
76,8,215,7,B,65,1
77,7,215,4,B,66,1
78,3,130,6,B,180,5
79,3,104,18,B,168,5
80,4,233,15,B,103,3
81,4,215,6,B,69,1
82,5,139,8,B,100,2
83,6,233,2,B-,103,3
84,5,129,8,B-,198,5
85,12,102,3,B-,128,4
86,2,108,10,B-,173,5
87,6,130,4,B-,184,5
88,3,105,10,B-,189,5
89,6,128,5,B-,186,5
90,30,131,2,B-,147,5
91,28,138,20,B-,72,2
92,3,108,10,B-,176,5
93,4,105,8,B-,190,5
94,7,105,2,B-,187,5
95,6,105,2,B-,189,5
96,6,107,6,B-,189,5
97,3,105,9,B-,193,5
98,6,138,6,B-,88,2
99,7,107,2,B-,190,5
100,2,107,3,B-,196,5
101,4,105,7,B-,194,5
102,2,105,4,B-,197,5
103,2,128,3,B-,197,5
104,5,128,3,B-,194,5
105,6,215,24,B-,73,1
106,5,105,3,B-,195,5
107,8,233,6,B-,108,3
108,1,107,2,B-,201,5
109,7,130,2,B-,194,5
110,3,233,9,B-,113,3
111,9,215,18,B-,72,1
112,10,138,7,B-,88,2
113,8,130,3,B-,195,5
114,9,107,3,B-,194,5
115,5,220,2,C+,68,1
116,18,133,10,C+,134,4
117,3,138,7,C+,94,2
118,8,233,13,C+,113,3
119,9,216,3,C+,68,1
120,28,328,3,C+,74,2
121,5,129,2,C+,230,5
122,38,133,6,C+,125,4
123,6,106,4,C+,229,5
124,7,233,12,C+,119,3
125,4,106,2,C+,232,5
126,5,332,3,C+,62,1
127,19,127,3,C+,184,5
128,2,138,3,C+,106,2
129,3,106,2,C+,245,5
130,26,127,3,C+,182,5
131,27,131,3,C+,181,5
132,1,222,3,C+,97,2
133,28,127,3,C+,180,5
134,29,131,3,C+,179,5
135,6,331,4,C,84,1
136,32,131,3,C,178,5
137,33,131,3,C,177,5
138,34,131,3,C,176,5
139,35,131,3,C,175,5
140,24,326,19,C,56,1
141,28,127,3,C,185,5
142,5,331,10,C,86,1
143,5,233,17,C,132,3
144,4,331,2,C,88,1
145,1,222,4,C,102,2
146,23,326,26,C,59,1
147,53,327,2,C,50,1
148,29,326,8,C,56,1
149,6,327,18,C,90,1
