,Beer_Rating,Covered,Customer_Rating,Price,Row,Section,Home_Away
0,9.0,0.0,4.0,117.25,1,102,0
1,9.0,0.0,4.0,100.0,10,102,0
2,9.0,0.0,4.0,99.5,11,102,0
3,9.0,0.0,4.0,112.83,12,102,0
4,9.0,0.0,4.0,113.86,2,102,0
5,9.0,0.0,4.0,86.0,3,102,0
8,9.0,0.0,4.0,96.0,6,102,0
9,9.0,0.0,4.0,101.67,7,102,0
10,9.0,0.0,4.0,97.67,8,102,0
11,9.0,0.0,4.0,105.67,9,102,0
13,8.0,0.0,4.0,104.67,10,103,0
14,8.0,0.0,4.0,85.0,11,103,0
15,8.0,0.0,4.0,103.6,14,103,0
16,8.0,0.0,4.0,97.0,18,103,0
17,8.0,0.0,4.0,80.0,19,103,0
19,8.0,0.0,4.0,109.0,20,103,0
20,8.0,0.0,4.0,91.0,21,103,0
26,8.0,0.0,4.0,149.67,37,103,0
28,8.0,0.0,4.0,113.71,5,103,0
29,8.0,0.0,4.0,126.57,6,103,0
30,8.0,0.0,4.0,95.5,7,103,0
31,8.0,0.0,4.0,105.0,8,103,0
32,8.0,0.0,4.0,96.0,9,103,0
36,7.0,0.0,4.0,136.0,11,104,0
37,7.0,0.0,5.0,172.0,15,104,0
43,7.0,0.0,5.0,182.29,6,104,0
44,7.0,0.0,5.0,150.4,9,104,0
46,6.0,0.0,5.0,253.9,1,105,0
69,5.0,0.0,2.0,325.0,23,106,0
70,5.0,0.0,2.0,279.75,24,106,0
74,5.0,0.0,2.0,302.33,37,106,0
80,4.0,0.0,5.0,213.88,2,107,0
81,4.0,0.0,5.0,157.0,3,107,0
82,4.0,0.0,5.0,184.0,4,107,0
87,3.0,0.0,4.0,130.5,11,108,0
88,3.0,0.0,5.0,208.0,12,108,0
89,3.0,0.0,4.0,130.5,13,108,0
90,3.0,0.0,4.0,144.75,17,108,0
91,3.0,0.0,4.0,129.0,18,108,0
98,3.0,0.0,5.0,176.0,8,108,0
99,3.0,0.0,5.0,152.33,9,108,0
100,2.0,0.0,5.0,148.75,1,109,0
101,2.0,0.0,4.0,113.5,11,109,0
102,2.0,0.0,4.0,95.0,13,109,0
103,2.0,0.0,4.0,110.0,16,109,0
104,2.0,0.0,4.0,141.2,2,109,0
105,2.0,0.0,4.0,115.67,20,109,0
108,2.0,0.0,4.0,123.33,3,109,0
110,2.0,0.0,4.0,117.4,4,109,0
111,2.0,0.0,4.0,110.75,5,109,0
112,2.0,0.0,4.0,98.5,6,109,0
113,2.0,0.0,4.0,97.0,8,109,0
115,1.0,0.0,4.0,109.67,2,110,0
116,1.0,0.0,4.0,96.75,3,110,0
117,1.0,0.0,4.0,100.67,4,110,0
119,1.0,0.0,4.0,111.5,2,125,1
120,1.0,0.0,4.0,108.33,3,125,1
121,1.0,0.0,4.0,75.5,4,125,1
122,1.0,0.0,4.0,84.0,7,125,1
123,1.0,0.0,4.0,80.0,8,125,1
125,3.0,0.0,4.0,96.0,12,126,1
126,3.0,0.0,4.0,111.0,14,126,1
129,3.0,0.0,4.0,97.0,21,126,1
130,3.0,0.0,2.0,480.33,25,126,1
131,3.0,0.0,4.0,113.2,3,126,1
133,3.0,0.0,4.0,93.0,33,126,1
134,3.0,0.0,4.0,128.0,38,126,1
135,3.0,0.0,4.0,109.0,7,126,1
139,4.0,0.0,5.0,151.56,10,127,1
142,4.0,0.0,5.0,161.0,13,127,1
143,4.0,0.0,5.0,189.0,14,127,1
144,4.0,0.0,5.0,160.33,15,127,1
145,4.0,0.0,4.0,131.67,16,127,1
146,4.0,0.0,5.0,218.0,17,127,1
147,4.0,0.0,4.0,123.0,21,127,1
148,4.0,0.0,4.0,122.0,22,127,1
149,4.0,0.0,5.0,154.0,23,127,1
150,4.0,0.0,5.0,203.0,24,127,1
151,4.0,0.0,5.0,175.0,3,127,1
152,4.0,0.0,5.0,198.25,7,127,1
153,5.0,0.0,5.0,204.0,1,128,1
154,5.0,0.0,5.0,214.0,2,128,1
158,5.0,0.0,5.0,182.33,5,128,1
171,6.0,0.0,2.0,260.36,3,129,1
174,6.0,0.0,2.0,287.5,37,129,1
175,6.0,0.0,2.0,316.5,4,129,1
181,6.0,0.0,2.0,288.67,6,129,1
182,6.0,0.0,2.0,265.12,7,129,1
189,7.0,0.0,2.0,272.0,4,130,1
193,8.0,0.0,4.0,112.0,10,131,1
194,8.0,0.0,4.0,145.0,11,131,1
195,8.0,0.0,5.0,183.0,12,131,1
196,8.0,0.0,4.0,124.0,14,131,1
197,8.0,0.0,4.0,147.0,15,131,1
198,8.0,0.0,5.0,166.67,16,131,1
199,8.0,0.0,5.0,183.0,18,131,1
200,8.0,0.0,5.0,174.5,19,131,1
201,8.0,0.0,5.0,173.0,20,131,1
202,8.0,0.0,5.0,212.0,21,131,1
203,8.0,0.0,4.0,126.0,22,131,1
204,8.0,0.0,5.0,211.0,23,131,1
205,8.0,0.0,5.0,209.0,24,131,1
206,8.0,0.0,4.0,142.25,25,131,1
207,8.0,0.0,5.0,180.33,26,131,1
208,8.0,0.0,5.0,204.0,27,131,1
210,8.0,0.0,4.0,148.0,8,131,1
213,9.0,0.0,4.0,109.33,11,132,1
214,9.0,0.0,4.0,113.7,12,132,1
216,9.0,0.0,4.0,97.4,15,132,1
221,9.0,0.0,4.0,111.5,29,132,1
222,9.0,0.0,4.0,116.0,3,132,1
226,9.0,0.0,4.0,108.55,4,132,1
227,9.0,0.0,4.0,112.8,5,132,1
228,9.0,0.0,4.0,125.0,6,132,1
233,10.0,0.0,4.0,84.67,1,133,1
235,10.0,0.0,4.0,99.5,11,133,1
236,10.0,0.0,4.0,72.5,12,133,1
237,10.0,0.0,4.0,80.0,13,133,1
238,10.0,0.0,4.0,78.0,14,133,1
241,10.0,0.0,4.0,73.0,20,133,1
242,10.0,0.0,4.0,113.5,21,133,1
243,10.0,0.0,4.0,84.0,22,133,1
246,10.0,0.0,4.0,95.0,30,133,1
247,10.0,0.0,4.0,91.67,31,133,1
248,10.0,0.0,4.0,76.0,32,133,1
249,10.0,0.0,4.0,79.0,33,133,1
250,10.0,0.0,4.0,76.0,34,133,1
257,10.0,0.0,4.0,78.5,10,135,1
258,10.0,0.0,4.0,70.0,11,135,1
259,10.0,0.0,4.0,71.0,13,135,1
260,10.0,0.0,4.0,91.0,14,135,1
261,10.0,0.0,4.0,90.0,16,135,1
262,10.0,0.0,4.0,70.0,17,135,1
264,10.0,0.0,4.0,77.0,20,135,1
265,10.0,0.0,4.0,62.0,24,135,1
266,10.0,0.0,4.0,71.0,25,135,1
267,10.0,0.0,4.0,66.0,26,135,1
268,10.0,0.0,4.0,62.0,27,135,1
270,10.0,0.0,4.0,84.0,7,135,1
271,10.0,0.0,4.0,71.0,9,135,1
272,10.0,0.0,4.0,72.0,10,136,1
273,10.0,0.0,4.0,70.67,11,136,1
274,10.0,0.0,4.0,73.0,12,136,1
275,10.0,0.0,4.0,65.0,13,136,1
277,10.0,0.0,4.0,110.0,15,136,1
278,10.0,0.0,4.0,90.5,16,136,1
279,10.0,0.0,4.0,85.0,17,136,1
280,10.0,0.0,4.0,84.0,18,136,1
283,10.0,0.0,4.0,74.5,23,136,1
284,10.0,0.0,4.0,70.0,24,136,1
285,10.0,0.0,4.0,69.0,25,136,1
286,10.0,0.0,4.0,97.0,5,136,1
287,10.0,0.0,4.0,93.5,6,136,1
288,10.0,0.0,4.0,78.0,7,136,1
289,10.0,0.0,4.0,87.5,8,136,1
290,10.0,0.0,4.0,74.0,9,136,1
292,10.0,0.0,4.0,69.33,10,137,1
293,10.0,0.0,4.0,113.0,13,137,1
294,10.0,0.0,4.0,67.0,17,137,1
295,10.0,0.0,4.0,70.0,19,137,1
296,10.0,0.0,4.0,110.0,2,137,1
297,10.0,0.0,4.0,78.0,20,137,1
298,10.0,0.0,4.0,77.0,21,137,1
299,10.0,0.0,4.0,79.0,22,137,1
300,10.0,0.0,4.0,68.0,26,137,1
301,10.0,0.0,4.0,68.5,28,137,1
302,10.0,0.0,4.0,100.0,3,137,1
303,10.0,0.0,4.0,148.33,4,137,1
304,10.0,0.0,4.0,116.33,5,137,1
305,10.0,0.0,4.0,77.0,7,137,1
306,10.0,0.0,4.0,83.5,8,137,1
307,10.0,0.0,4.0,75.0,9,137,1
311,10.0,0.0,4.0,114.0,12,138,1
312,10.0,0.0,4.0,69.0,15,138,1
313,10.0,0.0,4.0,77.0,16,138,1
315,10.0,0.0,4.0,119.5,2,138,1
317,10.0,0.0,4.0,89.33,4,138,1
318,10.0,0.0,4.0,104.75,5,138,1
320,10.0,0.0,4.0,94.75,7,138,1
321,10.0,0.0,4.0,74.33,8,138,1
326,10.0,0.0,4.0,112.25,2,139,1
333,10.0,0.0,4.0,100.5,3,139,1
334,10.0,0.0,4.0,103.67,4,139,1
335,10.0,0.0,4.0,92.25,5,139,1
336,10.0,0.0,4.0,83.0,7,139,1
337,10.0,0.0,4.0,83.0,8,139,1
339,1.0,0.0,2.0,297.25,13,213,1
353,1.0,0.0,1.0,123.33,2,222,1
354,1.0,0.0,1.0,85.25,1,223,1
355,1.0,0.0,1.0,76.67,2,223,1
357,1.0,0.0,1.0,114.0,2,224,1
358,1.0,0.0,1.0,78.0,3,224,1
359,1.0,0.0,1.0,72.0,5,224,1
360,1.0,0.0,1.0,86.67,6,224,1
361,1.0,0.0,1.0,108.5,8,224,1
362,1.0,0.0,1.0,72.67,9,224,1
364,9.0,1.0,1.0,92.5,10,233,1
376,10.0,1.0,2.0,97.25,11,301,0
377,10.0,1.0,3.0,65.0,12,301,0
388,10.0,1.0,3.0,58.67,28,301,0
390,10.0,1.0,3.0,64.5,32,301,0
396,8.0,1.0,3.0,66.0,21,302,0
397,8.0,1.0,3.0,63.67,22,302,0
411,8.0,1.0,3.0,51.5,35,302,0
413,8.0,1.0,3.0,59.0,37,302,0
414,8.0,1.0,3.0,57.0,38,302,0
415,8.0,1.0,3.0,61.0,39,302,0
416,8.0,1.0,3.0,59.0,40,302,0
420,7.0,1.0,3.0,85.0,20,303,0
422,7.0,1.0,3.0,73.0,28,303,0
425,7.0,1.0,2.0,105.0,32,303,0
427,7.0,1.0,3.0,83.0,34,303,0
428,7.0,1.0,3.0,81.25,35,303,0
430,6.0,1.0,2.0,192.0,1,304,0
432,6.0,1.0,3.0,91.5,18,304,0
433,6.0,1.0,3.0,74.5,19,304,0
435,6.0,1.0,3.0,80.25,21,304,0
439,5.0,1.0,2.0,111.33,22,305,0
443,5.0,1.0,3.0,90.5,35,305,0
445,4.0,1.0,2.0,125.0,23,306,0
448,4.0,1.0,2.0,128.5,27,306,0
449,4.0,1.0,3.0,68.0,33,306,0
450,4.0,1.0,2.0,122.8,34,306,0
452,3.0,1.0,2.0,104.0,17,307,0
453,3.0,1.0,2.0,106.5,20,307,0
457,3.0,1.0,2.0,108.33,26,307,0
460,3.0,1.0,2.0,105.0,36,307,0
464,2.0,1.0,3.0,87.33,19,308,0
468,1.0,1.0,2.0,106.0,16,309,0
469,1.0,1.0,3.0,93.0,18,309,0
470,1.0,1.0,3.0,89.0,19,309,0
472,1.0,1.0,3.0,71.5,21,309,0
473,1.0,1.0,3.0,74.0,28,309,0
477,1.0,1.0,3.0,69.0,32,309,0
480,1.0,1.0,3.0,53.0,21,310,0
481,1.0,1.0,3.0,69.0,22,310,0
482,1.0,1.0,3.0,63.0,23,310,0
483,1.0,1.0,3.0,73.0,24,310,0
485,1.0,1.0,3.0,63.5,26,310,0
486,1.0,1.0,3.0,58.25,27,310,0
487,1.0,1.0,3.0,61.0,28,310,0
491,1.0,1.0,3.0,66.67,32,310,0
492,1.0,1.0,3.0,49.33,33,310,0
493,1.0,1.0,3.0,54.75,35,310,0
494,1.0,1.0,3.0,56.0,36,310,0
496,1.0,1.0,3.0,56.0,38,310,0
497,1.0,1.0,3.0,57.0,39,310,0
499,1.0,1.0,2.0,229.0,1,311,0
503,1.0,1.0,3.0,54.25,27,311,0
504,1.0,1.0,3.0,61.5,29,311,0
506,1.0,1.0,3.0,58.0,32,311,0
507,1.0,1.0,3.0,53.25,33,311,0
510,1.0,1.0,3.0,55.0,37,311,0
514,1.0,1.0,3.0,68.0,10,325,1
515,1.0,1.0,3.0,66.5,11,325,1
516,1.0,1.0,3.0,54.5,12,325,1
517,1.0,1.0,3.0,61.75,16,325,1
518,1.0,1.0,3.0,66.67,23,325,1
519,1.0,1.0,3.0,55.75,26,325,1
521,1.0,1.0,3.0,57.5,30,325,1
522,1.0,1.0,3.0,68.25,33,325,1
524,1.0,1.0,1.0,46.0,37,325,1
529,1.0,1.0,1.0,63.5,45,325,1
530,1.0,1.0,1.0,65.67,46,325,1
531,1.0,1.0,1.0,55.67,47,325,1
532,1.0,1.0,1.0,49.0,48,325,1
533,1.0,1.0,1.0,55.4,49,325,1
535,1.0,1.0,1.0,57.75,50,325,1
536,1.0,1.0,1.0,77.5,51,325,1
537,1.0,1.0,1.0,58.0,52,325,1
539,1.0,1.0,1.0,42.5,55,325,1
540,1.0,1.0,1.0,54.5,56,325,1
541,1.0,1.0,1.0,52.0,57,325,1
542,1.0,1.0,1.0,37.5,58,325,1
543,1.0,1.0,1.0,54.33,60,325,1
544,1.0,1.0,1.0,45.83,62,325,1
548,1.0,1.0,1.0,49.25,66,325,1
553,2.0,1.0,3.0,71.5,15,326,1
554,2.0,1.0,3.0,69.5,16,326,1
555,2.0,1.0,3.0,69.0,17,326,1
556,2.0,1.0,3.0,68.0,18,326,1
557,2.0,1.0,3.0,75.25,19,326,1
558,2.0,1.0,3.0,73.5,20,326,1
559,2.0,1.0,3.0,76.33,21,326,1
561,2.0,1.0,3.0,88.0,23,326,1
563,2.0,1.0,3.0,56.0,25,326,1
564,2.0,1.0,3.0,64.0,27,326,1
565,2.0,1.0,3.0,58.17,28,326,1
567,2.0,1.0,3.0,77.0,30,326,1
568,2.0,1.0,3.0,64.0,31,326,1
569,2.0,1.0,3.0,44.0,32,326,1
570,3.0,1.0,2.0,123.33,14,327,1
571,3.0,1.0,3.0,71.0,32,327,1
573,3.0,1.0,3.0,68.0,35,327,1
574,3.0,1.0,3.0,67.0,36,327,1
575,3.0,1.0,3.0,66.0,37,327,1
576,3.0,1.0,3.0,66.5,38,327,1
577,3.0,1.0,3.0,71.0,39,327,1
578,3.0,1.0,3.0,84.0,4,327,1
580,3.0,1.0,1.0,60.5,46,327,1
581,3.0,1.0,1.0,50.0,48,327,1
582,3.0,1.0,2.0,100.5,5,327,1
583,3.0,1.0,1.0,51.5,50,327,1
584,3.0,1.0,1.0,82.25,51,327,1
585,3.0,1.0,1.0,65.33,52,327,1
587,3.0,1.0,1.0,80.67,54,327,1
588,3.0,1.0,1.0,81.5,55,327,1
589,3.0,1.0,1.0,93.5,56,327,1
590,3.0,1.0,1.0,86.0,57,327,1
594,4.0,1.0,2.0,138.0,11,328,1
595,4.0,1.0,2.0,116.0,12,328,1
596,4.0,1.0,2.0,134.0,13,328,1
599,4.0,1.0,2.0,119.5,16,328,1
600,4.0,1.0,2.0,144.67,17,328,1
601,4.0,1.0,2.0,117.0,18,328,1
602,4.0,1.0,3.0,73.0,27,328,1
603,4.0,1.0,2.0,122.5,28,328,1
604,4.0,1.0,2.0,104.25,42,328,1
605,4.0,1.0,3.0,98.0,46,328,1
606,4.0,1.0,2.0,129.0,7,328,1
607,4.0,1.0,2.0,134.0,8,328,1
608,4.0,1.0,2.0,158.5,9,328,1
609,5.0,1.0,2.0,114.33,43,329,1
610,5.0,1.0,2.0,117.33,44,329,1
611,5.0,1.0,1.0,97.0,46,329,1
612,5.0,1.0,1.0,90.0,47,329,1
613,5.0,1.0,2.0,103.25,48,329,1
614,5.0,1.0,1.0,94.0,49,329,1
619,5.0,1.0,2.0,104.5,52,329,1
621,6.0,1.0,2.0,164.0,10,330,1
625,6.0,1.0,2.0,197.0,15,330,1
630,6.0,1.0,3.0,68.0,25,330,1
631,6.0,1.0,3.0,80.5,36,330,1
634,6.0,1.0,2.0,103.0,43,330,1
636,6.0,1.0,2.0,127.0,46,330,1
637,6.0,1.0,2.0,124.0,47,330,1
638,6.0,1.0,2.0,136.0,7,330,1
640,6.0,1.0,2.0,192.0,9,330,1
641,7.0,1.0,3.0,83.0,2,331,1
642,7.0,1.0,3.0,74.0,24,331,1
643,7.0,1.0,3.0,73.0,29,331,1
645,7.0,1.0,2.0,120.0,33,331,1
646,7.0,1.0,3.0,77.0,34,331,1
647,7.0,1.0,3.0,97.0,35,331,1
648,7.0,1.0,3.0,76.0,36,331,1
649,7.0,1.0,1.0,65.0,37,331,1
650,7.0,1.0,3.0,84.5,38,331,1
651,7.0,1.0,1.0,65.0,39,331,1
653,7.0,1.0,1.0,79.0,45,331,1
659,7.0,1.0,1.0,89.43,49,331,1
661,7.0,1.0,1.0,67.67,50,331,1
667,7.0,1.0,1.0,105.0,61,331,1
668,7.0,1.0,1.0,98.0,62,331,1
669,7.0,1.0,1.0,88.0,63,331,1
670,7.0,1.0,1.0,82.0,64,331,1
671,7.0,1.0,1.0,78.0,65,331,1
672,7.0,1.0,1.0,104.0,66,331,1
673,7.0,1.0,1.0,103.0,67,331,1
675,8.0,1.0,3.0,77.0,11,332,1
676,8.0,1.0,3.0,85.5,12,332,1
677,8.0,1.0,3.0,87.33,13,332,1
678,8.0,1.0,3.0,77.0,14,332,1
679,8.0,1.0,3.0,76.0,15,332,1
680,8.0,1.0,3.0,74.0,16,332,1
681,8.0,1.0,3.0,70.0,17,332,1
682,8.0,1.0,3.0,89.5,18,332,1
683,8.0,1.0,3.0,88.5,19,332,1
684,8.0,1.0,3.0,87.0,20,332,1
685,8.0,1.0,3.0,60.0,22,332,1
686,8.0,1.0,3.0,62.0,23,332,1
687,8.0,1.0,3.0,60.5,24,332,1
