,Row,Section,avail_tics,deal_rating,price,rating
0,8,126,2,A+,87,4
1,12,126,2,A+,89,4
2,11,103,2,A+,90,4
3,4,125,4,A+,81,4
4,12,132,2,A+,90,4
5,5,102,4,A+,81,4
6,19,103,3,A+,87,4
7,5,102,2,A+,82,4
8,3,126,2,A+,98,4
9,20,133,4,A+,76,4
10,9,103,2,A+,95,4
11,10,103,2,A+,95,4
12,7,126,12,A+,97,4
13,4,132,8,A+,99,4
14,16,132,4,A+,92,4
15,19,133,6,A+,78,4
16,10,103,3,A+,97,4
17,8,103,2,A+,99,4
18,8,125,2,A+,85,4
19,14,133,12,A+,82,4
20,18,133,8,A+,80,4
21,13,133,13,A+,83,4
22,6,103,2,A+,101,4
23,2,109,2,A,104,4
24,4,132,6,A,103,4
25,11,126,5,A,99,4
26,15,132,4,A,97,4
27,4,110,6,A,89,4
28,4,132,3,A,104,4
29,3,110,7,A,90,4
30,7,125,4,A,88,4
31,8,132,2,A,102,4
32,7,126,2,A,103,4
33,4,103,7,A,105,4
34,6,109,3,A,104,4
35,3,132,12,A,106,4
36,8,103,3,A,103,4
37,4,102,2,A,91,4
38,14,132,3,A,100,4
39,8,109,6,A,104,4
40,21,103,3,A,96,4
41,7,133,8,A,90,4
42,9,102,14,A,89,4
43,9,133,17,A,89,4
44,11,102,11,A,88,4
45,11,133,20,A,88,4
46,4,109,3,A,107,4
47,6,109,8,A,106,4
48,11,132,8,A,103,4
49,8,133,18,A,90,4
50,10,102,15,A,89,4
51,10,133,20,A,89,4
52,7,133,5,A,92,4
53,3,132,8,A,110,4
54,6,102,15,A,93,4
55,3,126,15,A,111,4
56,14,103,9,A,104,4
57,2,132,11,A,112,4
58,7,103,3,A,109,4
59,3,125,9,A,96,4
60,14,103,2,A,105,4
61,5,109,10,A,111,4
62,7,132,3,A,110,4
63,12,132,4,A,107,4
64,9,103,9,A,109,4
65,4,102,3,A,97,4
66,8,102,10,A,95,4
67,7,133,6,A,96,4
68,7,132,2,A,112,4
69,2,110,14,A,99,4
70,3,103,12,A,115,4
71,22,133,3,A,88,4
72,36,132,2,A,93,4
73,5,133,6,A,98,4
74,33,133,3,A,82,4
75,29,132,2,A,98,4
76,21,133,2,A,89,4
77,6,133,12,A,98,4
78,31,133,3,A-,84,4
79,30,133,3,A-,85,4
80,8,103,8,A-,114,4
81,14,126,8,A-,110,4
82,2,125,8,A-,102,4
83,2,103,3,A-,119,4
84,15,132,8,A-,110,4
85,11,109,2,A-,113,4
86,9,135,3,A-,74,2
87,11,127,2,A-,124,5
88,7,102,9,A-,101,4
89,14,135,11,A-,73,2
90,9,104,2,A-,129,5
91,13,135,9,B+,74,2
92,6,132,15,B+,121,4
93,2,103,12,B+,124,4
94,12,126,6,B+,117,4
95,26,132,2,B+,107,4
96,17,108,3,B+,124,5
97,2,102,4,B+,107,4
98,10,131,2,B+,130,5
99,2,126,11,B+,125,4
100,1,133,3,B+,108,4
101,16,127,17,B+,126,5
102,10,127,3,B+,131,5
103,38,133,7,B+,86,4
104,28,332,2,B+,34,1
105,15,127,16,B+,128,5
106,9,108,8,B+,133,5
107,10,139,13,B+,78,2
108,3,224,14,B+,79,2
109,14,131,12,B+,130,5
110,3,110,3,B+,110,4
111,6,224,18,B+,77,2
112,13,127,18,B+,133,5
113,8,126,4,B+,126,4
114,9,224,16,B+,75,2
115,9,139,13,B+,81,2
116,12,127,16,B+,135,5
117,10,104,8,B+,137,5
118,16,132,2,B+,121,4
119,12,102,16,B+,107,4
120,11,136,2,B+,68,2
121,13,136,2,B+,67,2
122,3,139,8,B+,86,2
123,6,104,6,B+,142,5
124,5,139,8,B+,85,2
125,16,136,2,B+,66,2
126,10,103,8,B+,128,4
127,28,132,8,B+,114,4
128,8,138,2,B,71,2
129,30,131,4,B,124,5
130,16,131,22,B,137,5
131,8,138,2,B,72,2
132,12,102,3,B,111,4
133,9,104,6,B,144,5
134,28,332,2,B,37,1
135,39,110,2,B,95,4
136,8,132,7,B,136,4
137,12,132,16,B,133,4
138,21,104,2,B,139,5
139,16,138,11,B,71,2
140,15,138,17,B,72,2
141,4,139,8,B,93,2
142,10,136,3,B,75,2
143,10,127,8,B-,152,5
144,2,223,12,B-,79,2
145,12,136,8,B-,75,2
146,11,138,11,B-,76,2
147,28,332,2,B-,40,1
148,7,132,4,B-,146,4
149,29,110,2,B-,109,4
