,Row,Section,avail_tics,deal_rating,price,rating
0,6,103,2,A+,140,4
1,2,102,4,A+,127,4
2,3,132,12,A+,148,4
3,16,132,5,A+,137,4
4,8,102,15,A+,124,4
5,5,109,5,A+,148,4
6,7,133,6,A+,126,4
7,14,103,7,A+,141,4
8,2,103,3,A+,152,4
9,7,102,9,A+,128,4
10,10,132,8,A+,147,4
11,11,132,6,A+,147,4
12,4,103,11,A+,154,4
13,6,102,9,A+,131,4
14,6,132,3,A+,153,4
15,6,133,12,A+,132,4
16,2,132,11,A+,158,4
17,8,103,8,A+,155,4
18,7,126,12,A+,156,4
19,3,103,6,A+,160,4
20,16,109,3,A+,148,4
21,4,102,3,A+,137,4
22,5,103,4,A+,160,4
23,4,109,10,A+,161,4
24,3,126,14,A+,162,4
25,5,102,4,A,139,4
26,8,132,4,A,161,4
27,4,132,7,A,165,4
28,7,132,3,A,163,4
29,3,109,10,A,168,4
30,26,132,2,A,146,4
31,4,110,6,A,144,4
32,3,132,8,A,169,4
33,3,125,7,A,147,4
34,11,102,6,A,142,4
35,11,133,8,A,142,4
36,10,133,20,A,143,4
37,10,102,15,A,143,4
38,9,102,5,A,144,4
39,9,133,17,A,144,4
40,8,133,18,A,145,4
41,10,103,6,A,167,4
42,12,132,2,A,165,4
43,2,109,10,A,176,4
44,12,102,16,A,144,4
45,16,132,2,A,164,4
46,5,133,6,A,151,4
47,12,102,3,A,145,4
48,2,126,11,A,180,4
49,8,132,7,A,175,4
50,31,133,3,A,130,4
51,2,125,8,A,156,4
52,2,110,11,A,156,4
53,7,132,4,A-,181,4
54,11,126,5,A-,179,4
55,30,133,3,A-,138,4
56,10,139,13,A-,118,2
57,18,135,6,A-,111,2
58,2,224,10,A-,121,2
59,9,139,13,A-,120,2
60,29,110,2,A-,142,4
61,8,136,2,A-,103,2
62,8,224,1,B+,114,2
63,16,135,9,B+,115,2
64,6,103,12,B+,193,4
65,5,139,8,B+,126,2
66,6,224,2,B+,118,2
67,12,132,16,B+,187,4
68,14,135,7,B+,118,2
69,19,110,2,B+,155,4
70,3,139,8,B+,130,2
71,10,104,2,B+,209,5
72,8,224,8,B+,117,2
73,11,131,2,B+,209,5
74,9,108,3,B+,215,5
75,7,138,5,B+,109,2
76,12,108,4,B+,214,5
77,21,104,2,B+,202,5
78,11,110,2,B+,170,4
79,21,133,8,B+,161,4
80,2,102,7,B+,182,4
81,17,108,3,B+,212,5
82,15,104,4,B,216,5
83,4,139,8,B,138,2
84,10,104,2,B,225,5
85,2,109,2,B,217,4
86,23,127,6,B,208,5
87,10,127,5,B,229,5
88,8,108,3,B,232,5
89,6,107,3,B,255,5
90,7,127,2,B,234,5
91,17,127,3,B,220,5
92,24,127,2,B,211,5
93,11,104,2,B,230,5
94,6,104,6,B,239,5
95,3,105,5,B,264,5
96,9,104,6,B,236,5
97,21,131,7,B,219,5
98,26,131,7,B,212,5
99,24,131,6,B,215,5
100,7,107,4,B,260,5
101,27,131,5,B,211,5
102,25,131,12,B,214,5
103,23,131,11,B,217,5
104,4,138,3,B,123,2
105,4,105,2,B,266,5
106,30,131,4,B,208,5
107,18,133,10,B,178,4
108,13,127,10,B,234,5
109,20,131,7,B,224,5
110,14,127,7,B,233,5
111,19,131,17,B,226,5
112,17,127,10,B,229,5
113,15,127,10,B,232,5
114,18,131,11,B,228,5
115,16,131,9,B,231,5
116,12,131,9,B,237,5
117,10,127,3,B,240,5
118,17,138,3,B,113,2
119,15,136,5,B-,116,2
120,7,105,3,B-,268,5
121,2,104,15,B-,255,5
122,3,130,2,B-,275,5
123,10,138,22,B-,121,2
124,3,128,4,B-,276,5
125,2,105,19,B-,278,5
126,12,138,22,B-,120,2
127,26,131,2,B-,221,5
128,3,130,2,B-,278,5
129,2,130,10,B-,282,5
130,4,130,17,B-,280,5
131,11,138,4,B-,123,2
132,2,107,6,B-,284,5
133,2,107,2,B-,284,5
134,6,104,3,B-,256,5
135,5,136,2,B-,130,2
136,7,130,2,B-,280,5
137,6,130,9,B-,282,5
138,2,128,3,B-,289,5
139,6,128,12,B-,285,5
140,4,108,7,B-,267,5
141,16,136,8,B-,124,2
142,2,108,10,C+,275,5
143,3,106,2,C+,326,5
144,7,127,6,C+,273,5
145,2,139,11,C+,169,2
146,5,104,8,C+,279,5
147,4,104,9,C+,294,5
148,4,106,6,C+,346,5
149,4,331,2,C+,119,1
