,Section,Row,Price
0,102,4,81.0
1,102,5,106.0
2,103,1,148.0
3,103,2,133.0
4,103,3,113.0
5,103,4,102.0
6,103,25,120.0
7,103,27,137.0
8,103,32,160.0
9,104,1,194.0
10,104,2,172.0
11,104,3,161.0
12,104,4,146.0
13,104,5,149.0
14,104,10,161.5
15,105,2,188.0
16,105,3,182.5
17,105,4,185.0
18,105,6,181.0
19,105,7,180.0
20,106,1,282.0
21,106,2,276.0
22,106,3,244.0
23,106,4,217.0
24,106,6,228.0
25,106,10,359.0
26,106,12,352.0
27,106,13,279.0
28,106,20,443.0
29,106,29,443.0
30,106,34,359.0
31,107,1,236.5
32,107,6,181.0
33,107,7,183.0
34,108,1,252.0
35,108,2,185.0
36,108,3,169.0
37,108,4,139.0
38,108,5,157.0
39,108,6,130.0
40,108,10,194.0
41,109,26,126.0
42,109,28,109.0
43,109,35,160.0
44,110,1,109.0
45,126,2,114.0
46,126,8,116.0
47,126,11,105.0
48,126,15,110.0
49,126,31,120.0
50,127,1,176.0
51,127,11,128.0
52,127,12,130.0
53,128,3,165.5
54,128,4,172.0
55,128,6,186.0
56,129,1,305.0
57,129,2,282.5
58,129,5,206.5
59,129,10,196.0
60,129,17,369.5
61,129,22,364.0
62,129,35,252.0
63,129,40,236.0
64,130,2,188.0
65,130,3,178.5
66,130,5,174.0
67,130,6,183.0
68,130,7,186.0
69,131,30,140.0
70,132,1,148.0
71,132,2,106.5
72,132,7,114.0
73,132,8,146.0
74,132,10,109.0
75,132,14,95.0
76,132,16,98.0
77,132,28,92.0
78,132,32,109.0
79,132,34,120.0
80,132,37,160.0
81,133,5,101.0
82,133,6,87.0
83,133,7,85.0
84,133,8,85.0
85,133,9,84.0
86,133,10,84.0
87,133,18,129.0
88,133,19,84.0
89,133,26,79.0
90,133,27,73.0
91,133,38,117.0
92,135,5,76.0
93,135,18,66.0
94,136,14,69.0
95,136,20,68.0
96,136,22,66.0
97,137,1,176.0
98,138,1,160.0
99,138,6,84.0
100,138,10,85.0
101,138,11,70.0
102,138,17,67.0
103,138,28,69.0
104,139,1,104.0
105,139,9,84.0
106,139,10,82.0
107,139,19,71.0
108,139,21,67.0
109,139,23,65.0
110,139,24,64.0
111,139,25,63.0
112,139,27,62.0
113,139,28,61.0
114,215,4,67.0
115,215,6,70.0
116,215,7,64.0
117,215,8,63.0
118,215,9,68.0
119,215,10,61.0
120,220,5,66.0
121,222,1,106.0
122,224,1,141.0
123,233,1,109.0
124,233,2,102.0
125,233,5,148.0
126,233,6,98.0
127,233,7,113.0
128,233,8,105.0
129,234,8,65.0
130,234,13,90.0
131,234,14,85.0
132,301,7,83.0
133,301,8,87.0
134,301,9,84.0
135,301,13,62.5
136,301,17,69.0
137,301,18,61.0
138,301,19,63.0
139,301,30,50.0
140,301,40,45.0
141,302,23,66.0
142,302,26,60.0
143,302,27,58.0
144,302,28,55.0
145,302,29,52.0
146,302,31,169.5
147,302,32,166.5
148,302,33,56.0
149,302,34,60.5
150,302,36,48.0
151,303,16,71.0
152,303,18,70.0
153,303,19,69.0
154,303,21,72.0
155,303,29,67.0
156,303,31,65.0
157,303,33,76.0
158,304,17,83.0
159,304,20,86.0
160,304,35,75.0
161,305,19,85.0
162,305,24,98.0
163,305,25,93.0
164,305,26,91.0
165,305,36,96.0
166,306,24,93.0
167,306,26,91.0
168,306,35,90.0
169,307,22,95.0
170,307,24,101.0
171,307,25,96.0
172,307,27,90.0
173,307,35,96.0
174,308,1,223.0
175,308,16,84.0
176,308,18,81.0
177,308,20,82.0
178,308,21,85.0
179,308,28,81.0
180,309,20,73.0
181,309,29,69.0
182,309,30,66.0
183,309,31,68.0
184,309,35,75.0
185,309,36,73.0
186,310,25,63.0
187,310,29,55.0
188,310,30,57.0
189,310,31,49.0
190,310,37,49.0
191,310,40,52.0
192,311,6,89.0
193,311,9,81.0
194,311,11,99.0
195,311,13,72.0
196,311,14,66.0
197,311,31,48.0
198,311,34,46.0
199,311,36,47.0
200,325,1,120.0
201,325,3,72.0
202,325,4,68.0
203,325,5,70.0
