,Row,Section,avail_tics,deal_rating,price,rating
0,5,132,11,A+,74,4
1,1,133,3,A,75,4
2,5,103,2,A,90,4
3,12,133,4,A,75,4
4,4,132,8,A,93,4
5,8,126,3,A,92,4
6,3,132,2,A,96,4
7,12,132,2,A,91,4
8,4,125,4,A,82,4
9,8,103,4,A,94,4
10,5,109,2,A,96,4
11,12,132,4,A,92,4
12,4,103,3,A-,98,4
13,6,102,3,A-,84,4
14,3,109,3,A-,100,4
15,12,132,2,A-,96,4
16,19,103,3,A-,92,4
17,4,103,9,A-,101,4
18,7,132,2,A-,100,4
19,2,132,11,B+,104,4
20,12,132,4,B+,98,4
21,8,126,4,B+,101,4
22,8,132,2,B+,101,4
23,2,109,2,B+,106,4
24,7,103,3,B+,103,4
25,7,133,3,B+,90,4
26,26,133,5,B+,80,4
27,5,133,6,B+,92,4
28,3,132,3,B+,109,4
29,8,133,18,B+,91,4
30,10,102,2,B+,90,4
31,10,133,2,B+,90,4
32,3,102,4,B+,94,4
33,4,132,5,B+,109,4
34,7,133,3,B+,92,4
35,6,109,2,B+,108,4
36,9,133,17,B+,91,4
37,11,133,20,B+,90,4
38,11,102,7,B+,90,4
39,19,133,8,B+,86,4
40,3,126,15,B+,111,4
41,3,103,5,B+,111,4
42,2,125,2,B+,96,4
43,6,133,9,B+,94,4
44,7,126,2,B+,109,4
45,32,133,3,B,80,4
46,5,139,3,B,72,2
47,4,109,3,B,112,4
48,8,132,7,B,110,4
49,34,133,2,B,80,4
50,31,133,3,B,82,4
51,2,103,3,B,115,4
52,9,108,2,B,121,5
53,16,132,5,B,107,4
54,30,133,3,B,84,4
55,2,103,12,B,117,4
56,2,126,11,B,118,4
57,4,102,3,B,100,4
58,2,139,3,B,77,2
59,15,132,6,B,110,4
60,7,132,3,B,116,4
61,16,109,3,B,110,4
62,11,135,3,B,73,2
63,7,102,9,B,100,4
64,4,104,9,B,130,5
65,7,132,4,B-,120,4
66,2,102,4,B-,106,4
67,18,135,14,B-,72,2
68,10,135,9,B-,77,2
69,7,139,4,B-,79,2
70,17,135,5,B-,73,2
71,6,104,3,B-,135,5
72,16,135,7,B-,74,2
73,26,132,2,B-,109,4
74,4,104,9,B-,137,5
75,11,108,3,B-,132,5
76,14,103,2,B-,119,4
77,28,132,8,B-,109,4
78,3,110,3,B-,110,4
79,17,108,3,B-,129,5
80,5,102,4,B-,110,4
81,10,127,2,B-,136,5
82,13,108,3,B-,134,5
83,3,139,4,B-,85,2
84,23,127,5,B-,126,5
85,2,104,15,B-,144,5
86,6,224,2,C+,79,2
87,9,224,2,C+,76,2
88,22,127,2,C+,128,5
89,21,127,4,C+,129,5
90,10,127,3,C+,139,5
91,16,132,2,C+,123,4
92,2,107,3,C+,159,5
93,39,110,2,C+,91,4
94,4,138,2,C+,73,2
95,7,127,2,C+,144,5
96,3,105,3,C+,161,5
97,16,127,6,C+,138,5
98,5,104,8,C+,148,5
99,22,131,15,C+,133,5
100,3,108,10,C+,150,5
101,20,131,3,C+,135,5
102,3,103,2,C+,138,4
103,13,127,12,C+,142,5
104,3,107,5,C+,164,5
105,19,131,10,C+,137,5
106,25,131,2,C+,132,5
107,15,127,14,C+,141,5
108,12,131,2,C+,144,5
109,11,131,6,C+,145,5
110,7,105,2,C+,162,5
111,6,233,2,C+,92,3
112,8,131,6,C+,149,5
113,20,135,12,C+,80,2
114,2,108,10,C+,156,5
115,29,110,2,C+,104,4
116,2,233,10,C+,97,3
117,10,104,3,C+,151,5
118,18,133,10,C+,113,4
119,7,136,2,C+,77,2
120,3,129,2,C+,185,5
121,9,136,2,C+,77,2
122,3,103,6,C+,147,4
123,11,136,2,C+,76,2
124,11,136,3,C+,76,2
125,3,128,4,C+,176,5
126,14,136,2,C+,75,2
127,8,233,6,C+,96,3
128,6,131,3,C+,160,5
129,12,136,4,C,77,2
130,8,138,3,C,80,2
131,19,110,2,C,118,4
132,4,128,6,C,179,5
133,2,223,8,C,83,2
134,6,138,2,C,82,2
135,8,136,8,C,81,2
136,5,138,16,C,83,2
137,5,130,14,C,181,5
138,3,127,8,C,169,5
139,3,137,1,C,69,1
140,2,107,3,C,185,5
141,7,129,2,C,194,5
142,25,136,8,C,72,2
143,8,233,13,C,101,3
144,14,136,2,C,79,2
145,24,136,10,C,73,2
146,23,136,21,C,74,2
147,6,128,6,C,185,5
148,3,129,4,C,204,5
149,3,129,2,C,204,5
