,Row,Section,avail_tics,deal_rating,price,rating
0,8,103,2,A+,90,4
1,12,132,2,A+,89,4
2,19,103,3,A+,89,4
3,1,133,3,A+,86,4
4,7,132,2,A+,98,4
5,12,133,4,A+,82,4
6,11,126,3,A+,98,4
7,8,132,2,A+,100,4
8,10,103,2,A+,100,4
9,4,103,4,A+,104,4
10,11,132,7,A+,100,4
11,4,110,4,A+,90,4
12,14,103,6,A+,99,4
13,13,109,2,A+,100,4
14,18,103,3,A,98,4
15,6,109,8,A,107,4
16,6,102,15,A,93,4
17,15,132,4,A,103,4
18,5,102,2,A,94,4
19,8,126,4,A,108,4
20,2,110,9,A,96,4
21,8,133,18,A,93,4
22,10,102,15,A,92,4
23,10,133,20,A,92,4
24,6,103,2,A,110,4
25,7,133,8,A,94,4
26,8,103,8,A,109,4
27,9,102,4,A,93,4
28,9,133,17,A,93,4
29,11,102,11,A,92,4
30,11,133,20,A,92,4
31,7,126,6,A,111,4
32,10,103,3,A,109,4
33,8,102,7,A,95,4
34,2,102,7,A,99,4
35,4,132,8,A,115,4
36,10,103,3,A,111,4
37,7,102,9,A,98,4
38,8,103,3,A,114,4
39,4,132,8,A,117,4
40,3,103,12,A,118,4
41,6,103,12,A,116,4
42,15,132,6,A,110,4
43,5,109,10,A,117,4
44,7,132,3,A,116,4
45,6,103,2,A,117,4
46,12,132,4,A,113,4
47,7,133,10,A,100,4
48,4,102,3,A,102,4
49,4,109,10,A,119,4
50,3,126,12,A,120,4
51,3,132,12,A-,121,4
52,3,125,2,A-,104,4
53,10,104,2,A-,127,5
54,4,132,5,A-,121,4
55,2,102,4,A-,105,4
56,10,127,2,A-,128,5
57,7,103,3,A-,120,4
58,6,132,15,A-,121,4
59,4,109,3,A-,123,4
60,11,131,2,A-,129,5
61,36,132,2,A-,100,4
62,12,132,4,A-,118,4
63,3,132,8,A-,125,4
64,3,109,10,A-,125,4
65,5,224,18,A-,76,2
66,2,126,11,A-,126,4
67,9,104,2,A-,133,5
68,6,133,12,A-,107,4
69,3,110,3,B+,110,4
70,2,132,11,B+,130,4
71,11,131,3,B+,135,5
72,5,102,2,B+,110,4
73,25,131,2,B+,124,5
74,18,108,3,B+,130,5
75,26,132,2,B+,113,4
76,11,109,2,B+,125,4
77,2,103,3,B+,132,4
78,13,108,3,B+,135,5
79,4,139,6,B+,85,2
80,12,102,16,B+,107,4
81,11,108,3,B+,137,5
82,8,126,4,B+,128,4
83,25,131,3,B+,126,5
84,17,108,3,B+,133,5
85,10,104,8,B+,139,5
86,38,133,5,B+,91,4
87,12,132,16,B+,126,4
88,5,103,6,B+,132,4
89,10,139,13,B+,83,2
90,26,131,2,B+,127,5
91,9,139,11,B+,84,2
92,9,224,18,B+,78,2
93,11,131,2,B+,142,5
94,3,224,7,B+,85,2
95,5,133,4,B+,116,4
96,8,132,4,B+,133,4
97,2,109,2,B+,138,4
98,8,139,10,B+,86,2
99,11,104,8,B,144,5
100,7,107,2,B,160,5
101,16,132,2,B,128,4
102,9,104,6,B,146,5
103,2,139,14,B,91,2
104,7,135,11,B,88,2
105,10,135,9,B,86,2
106,15,104,4,B,142,5
107,2,125,8,B,121,4
108,6,104,6,B,151,5
109,29,110,2,B,104,4
110,12,102,3,B,118,4
111,10,127,3,B,152,5
112,5,139,8,B,94,2
113,8,108,3,B,156,5
114,2,223,2,B,80,2
115,8,132,7,B,144,4
116,16,127,5,B,150,5
117,10,127,8,B,156,5
118,16,131,20,B-,152,5
119,19,110,2,B-,118,4
120,2,104,15,B-,167,5
121,7,132,4,B-,149,4
122,16,132,6,B-,141,4
123,18,131,15,B-,152,5
124,15,131,17,B-,155,5
125,6,108,2,B-,164,5
126,3,139,10,B-,100,2
127,5,128,2,B-,180,5
128,23,127,4,B-,149,5
129,14,127,10,B-,158,5
130,2,233,6,B-,105,3
131,7,130,2,B-,180,5
132,13,127,4,B-,161,5
133,12,127,10,B-,163,5
134,30,131,4,B-,146,5
135,6,104,3,B-,171,5
136,3,105,4,B-,189,5
137,3,128,2,B-,189,5
138,1,223,2,B-,88,2
139,4,107,19,B-,191,5
140,11,110,2,B-,133,4
141,11,138,4,C+,84,2
142,18,133,10,C+,128,4
143,2,108,10,C+,180,5
144,6,233,2,C+,108,3
145,3,130,6,C+,196,5
146,6,130,11,C+,193,5
147,2,107,3,C+,198,5
148,6,108,2,C+,179,5
149,7,127,4,C+,178,5
