,Proximity_to_Beer,Covered,Customer_Rating,Price,Row,Section,Home_Away,Family_Bathrooms,Section/Row,Covered_Seating,Home or Away
0,2.0,0.0,4.0,117.25,1,102,0,8,"Section 102, Row 1",Uncovered,Away
1,2.0,0.0,4.0,100.0,10,102,0,8,"Section 102, Row 10",Uncovered,Away
2,2.0,0.0,4.0,99.5,11,102,0,8,"Section 102, Row 11",Uncovered,Away
3,2.0,0.0,4.0,112.83,12,102,0,8,"Section 102, Row 12",Uncovered,Away
4,2.0,0.0,4.0,113.86,2,102,0,8,"Section 102, Row 2",Uncovered,Away
5,2.0,0.0,4.0,86.0,3,102,0,8,"Section 102, Row 3",Uncovered,Away
8,2.0,0.0,4.0,96.0,6,102,0,8,"Section 102, Row 6",Uncovered,Away
9,2.0,0.0,4.0,101.67,7,102,0,8,"Section 102, Row 7",Uncovered,Away
10,2.0,0.0,4.0,97.67,8,102,0,8,"Section 102, Row 8",Uncovered,Away
11,2.0,0.0,4.0,105.67,9,102,0,8,"Section 102, Row 9",Uncovered,Away
13,3.0,0.0,4.0,104.67,10,103,0,7,"Section 103, Row 10",Uncovered,Away
14,3.0,0.0,4.0,85.0,11,103,0,7,"Section 103, Row 11",Uncovered,Away
15,3.0,0.0,4.0,103.6,14,103,0,7,"Section 103, Row 14",Uncovered,Away
16,3.0,0.0,4.0,97.0,18,103,0,7,"Section 103, Row 18",Uncovered,Away
17,3.0,0.0,4.0,80.0,19,103,0,7,"Section 103, Row 19",Uncovered,Away
19,3.0,0.0,4.0,109.0,20,103,0,7,"Section 103, Row 20",Uncovered,Away
20,3.0,0.0,4.0,91.0,21,103,0,7,"Section 103, Row 21",Uncovered,Away
26,3.0,0.0,4.0,149.67,37,103,0,7,"Section 103, Row 37",Uncovered,Away
28,3.0,0.0,4.0,113.71,5,103,0,7,"Section 103, Row 5",Uncovered,Away
29,3.0,0.0,4.0,126.57,6,103,0,7,"Section 103, Row 6",Uncovered,Away
30,3.0,0.0,4.0,95.5,7,103,0,7,"Section 103, Row 7",Uncovered,Away
31,3.0,0.0,4.0,105.0,8,103,0,7,"Section 103, Row 8",Uncovered,Away
